sample	experiment	run	celltype	organism	path	bait_chrom	bait_name	treatment	group	group_short	group_i	control	alleles	concentration	description
PW167	Wee1 concentration	B400_021	NPC	mouse	Wee1_concentration/PW167_B400_021_result.tlx	chr6	Chr6_70Mb	Wee1 0.5 uM	Wee1 0.5 uM	Wee1 0.5 uM	1	F	2	0.5	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h;Wee1 0.5 uM
PW168	Wee1 concentration	B400_021	NPC	mouse	Wee1_concentration/PW168_B400_021_result.tlx	chr8	Chr8_61Mb	Wee1 0.5 uM	Wee1 0.5 uM	Wee1 0.5 uM	1	F	2	0.5	ESC-NPC;NXP010;Aphidicolin 0.3 uM 96h;Wee1 0.5 uM
VI077	Nrxn1 promoter/enhancer	B400_021	NPC	mouse	VI077_B400_021_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic deletion (22)	fndr_22	3	T	1	0.5	ESC-NPC;Nxp047;22;DMSO
VI078	Nrxn1 promoter/enhancer	B400_021	NPC	mouse	VI078_B400_021_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic deletion (22)	fndr_22	3	F	1	0.5	ESC-NPC;Nxp047;22;Aphidicolin 0.5 uM 96h
VI079	Nrxn1 promoter/enhancer	B400_021	NPC	mouse	VI079_B400_021_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic+promoter deletion (22/5)	fndr-prom_22-5	3	T	1	0.5	ESC-NPC;Nxp047;22-5;DMSO
VI080	Nrxn1 promoter/enhancer	B400_021	NPC	mouse	VI080_B400_021_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic+promoter deletion (22/5)	fndr-prom_22-5	3	F	1	0.5	ESC-NPC;Nxp047;22-5;Aphidicolin 0.5 uM 96h
VI081	Nrxn1 promoter/enhancer	B400_021	NPC	mouse	VI081_B400_021_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic+promoter deletion (22/37)	fndr-prom_22-37	3	T	1	0.5	ESC-NPC;Nxp047;22-37;DMSO
VI082	Nrxn1 promoter/enhancer	B400_021	NPC	mouse	VI082_B400_021_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic+promoter deletion (22/37)	fndr-prom_22-37	3	F	1	0.5	ESC-NPC;Nxp047;22-37;Aphidicolin 0.5 uM 96h
VI083	Nrxn1 promoter/enhancer	B400_021	NPC	mouse	VI083_B400_021_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic+promoter deletion (22/37)	fndr-prom_22-37	4	T	1	0.5	ESC-NPC;Nxp047;22-37;DMSO
VI084	Nrxn1 promoter/enhancer	B400_021	NPC	mouse	VI084_B400_021_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic+promoter deletion (22/37)	fndr-prom_22-37	4	F	1	0.5	ESC-NPC;Nxp047;22-37;Aphidicolin 0.5 uM 96h
VI085	Nrxn1 promoter/enhancer	B400_022	NPC	mouse	VI085_B400_022_result.tlx	chr17	Chr17_41Mb	DMSO	Parental cell (NXP047)	NXP047	3	T	2	0	ESC-NPC;NXP047;DMSO
VI086	Nrxn1 promoter/enhancer	B400_022	NPC	mouse	VI086_B400_022_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Parental cell (NXP047)	NXP047	3	F	2	0.5	ESC-NPC;Nxp047; Aphidicolin 0.5 uM 96h
VI087	Nrxn1 promoter/enhancer	B400_022	NPC	mouse	VI087_B400_022_result.tlx	chr17	Chr17_41Mb	DMSO	Parental cell (NXP047)	NXP047	4	T	2	0	ESC-NPC;NXP047;DMSO
VI088	Nrxn1 promoter/enhancer	B400_022	NPC	mouse	VI088_B400_022_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Parental cell (NXP047)	NXP047	4	F	2	0.5	ESC-NPC;Nxp047; Aphidicolin 0.5 uM 96h
SRR2820416	Wei et al. Cell 2016	Wei2016_Chr12	NPC	mouse	Wei2016/SRR2820416_WEI2016_result.tlx	chr12	Chr12_13Mb	APH 0.5uM	chr12	chr12	1	F	2	0.5	From Wei et al. Cell 2016; X4p53_Chr12_sgRNA_1_APH_ExpA
SRR2820417	Wei et al. Cell 2016	Wei2016_Chr12	NPC	mouse	Wei2016/SRR2820417_WEI2016_result.tlx	chr12	Chr12_13Mb	APH 0.5uM	chr12	chr12	2	F	2	0.5	From Wei et al. Cell 2016; X4p53_Chr12_sgRNA_1_APH_ExpB
SRR2820418	Wei et al. Cell 2016	Wei2016_Chr12	NPC	mouse	Wei2016/SRR2820418_WEI2016_result.tlx	chr12	Chr12_13Mb	APH 0.5uM	chr12	chr12	3	F	2	0.5	From Wei et al. Cell 2016; X4p53_Chr12_sgRNA_1_APH_ExpC
SRR2820463	Wei et al. Cell 2016	Wei2016_Chr15	NPC	mouse	Wei2016/SRR2820463_WEI2016_result.tlx	chr15	Chr15_62Mb	APH 0.5uM	chr15	chr15	1	F	2	0.5	From Wei et al. Cell 2016; X4p53_Chr15_Myc_SgRNA_APH_ExpA
SRR2820464	Wei et al. Cell 2016	Wei2016_Chr15	NPC	mouse	Wei2016/SRR2820464_WEI2016_result.tlx	chr15	Chr15_62Mb	APH 0.5uM	chr15	chr15	2	F	2	0.5	From Wei et al. Cell 2016; X4p53_Chr15_Myc_SgRNA_APH_ExpB
SRR2820466	Wei et al. Cell 2016	Wei2016_Chr15	NPC	mouse	Wei2016/SRR2820466_WEI2016_result.tlx	chr15	Chr15_62Mb	APH 0.5uM	chr15	chr15	3	F	2	0.5	From Wei et al. Cell 2016; X4p53_Chr15_Myc_SgRNA_APH_ExpC
SRR2820474	Wei et al. Cell 2016	Wei2016_Chr16	NPC	mouse	Wei2016/SRR2820474_WEI2016_result.tlx	chr16	Chr16_39Mb	APH 0.5uM	chr16	chr16	1	F	2	0.5	From Wei et al. Cell 2016; X4p53_Chr16_sgRNA_2_APH_ExpA
SRR2820475	Wei et al. Cell 2016	Wei2016_Chr16	NPC	mouse	Wei2016/SRR2820475_WEI2016_result.tlx	chr16	Chr16_39Mb	APH 0.5uM	chr16	chr16	2	F	2	0.5	From Wei et al. Cell 2016; X4p53_Chr16_sgRNA_2_APH_ExpB
SRR2820476	Wei et al. Cell 2016	Wei2016_Chr16	NPC	mouse	Wei2016/SRR2820476_WEI2016_result.tlx	chr16	Chr16_39Mb	APH 0.5uM	chr16	chr16	3	F	2	0.5	From Wei et al. Cell 2016; X4p53_Chr16_sgRNA_2_APH_ExpC
SRR2820477	Wei et al. Cell 2016	Wei2016_Chr16	NPC	mouse	Wei2016/SRR2820477_WEI2016_result.tlx	chr16	Chr16_39Mb	APH 0.5uM	chr16	chr16	4	F	2	0.5	From Wei et al. Cell 2016; X4p53_Chr16_sgRNA_2_APH_ExpD
SRR2820419	Wei et al. Cell 2016	Wei2016_Chr12	NPC	mouse	Wei2016/SRR2820419_WEI2016_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	1	T	2	0	From Wei et al. Cell 2016; X4p53_Chr12_sgRNA_1_DMSO_ExpA
SRR2820420	Wei et al. Cell 2016	Wei2016_Chr12	NPC	mouse	Wei2016/SRR2820420_WEI2016_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	2	T	2	0	From Wei et al. Cell 2016; X4p53_Chr12_sgRNA_1_DMSO_ExpB
SRR2820421	Wei et al. Cell 2016	Wei2016_Chr12	NPC	mouse	Wei2016/SRR2820421_WEI2016_result.tlx	chr12	Chr12_13Mb	DMSO	chr12	chr12	3	T	2	0	From Wei et al. Cell 2016; X4p53_Chr12_sgRNA_1_DMSO_ExpC
SRR2820467	Wei et al. Cell 2016	Wei2016_Chr15	NPC	mouse	Wei2016/SRR2820467_WEI2016_result.tlx	chr15	Chr15_62Mb	DMSO	chr15	chr15	1	T	2	0	From Wei et al. Cell 2016; X4p53_Chr15_Myc_sgRNA_DMSO_ExpA
SRR2820469	Wei et al. Cell 2016	Wei2016_Chr15	NPC	mouse	Wei2016/SRR2820469_WEI2016_result.tlx	chr15	Chr15_62Mb	DMSO	chr15	chr15	2	T	2	0	From Wei et al. Cell 2016; X4p53_Chr15_Myc_sgRNA_DMSO_ExpB
SRR2820470	Wei et al. Cell 2016	Wei2016_Chr15	NPC	mouse	Wei2016/SRR2820470_WEI2016_result.tlx	chr15	Chr15_62Mb	DMSO	chr15	chr15	3	T	2	0	From Wei et al. Cell 2016; X4p53_Chr15_Myc_sgRNA_DMSO_ExpC
SRR2820478	Wei et al. Cell 2016	Wei2016_Chr16	NPC	mouse	Wei2016/SRR2820478_WEI2016_result.tlx	chr16	Chr16_39Mb	DMSO	chr16	chr16	1	T	2	0	From Wei et al. Cell 2016; X4p53_Chr16_sgRNA_2_DMSO_ExpA
SRR2820479	Wei et al. Cell 2016	Wei2016_Chr16	NPC	mouse	Wei2016/SRR2820479_WEI2016_result.tlx	chr16	Chr16_39Mb	DMSO	chr16	chr16	2	T	2	0	From Wei et al. Cell 2016; X4p53_Chr16_sgRNA_2_DMSO_ExpB
SRR2820480	Wei et al. Cell 2016	Wei2016_Chr16	NPC	mouse	Wei2016/SRR2820480_WEI2016_result.tlx	chr16	Chr16_39Mb	DMSO	chr16	chr16	3	T	2	0	From Wei et al. Cell 2016; X4p53_Chr16_sgRNA_2_DMSO_ExpC
